waktu,stasiun,AOD
2023-01-06 13:00:00,Menteng,
2023-01-06 13:00:00,Jagakarsa,
2023-01-06 13:00:00,Jatinegara,
2023-01-06 13:00:00,Kelapa Gading Indah,
2023-01-06 14:00:00,Slipi,
2023-01-06 14:00:00,Menteng,0.1506000012159347
2023-01-06 14:00:00,Jagakarsa,
2023-01-06 14:00:00,Jatinegara,
2023-01-06 14:00:00,Kelapa Gading Indah,
2023-01-06 15:00:00,Slipi,
2023-01-06 15:00:00,Menteng,
2023-01-06 15:00:00,Jagakarsa,0.3625999987125397
2023-01-06 15:00:00,Jatinegara,0.1903999894857406
2023-01-06 15:00:00,Kelapa Gading Indah,
2023-01-06 16:00:00,Slipi,
2023-01-06 16:00:00,Menteng,
2023-01-06 16:00:00,Jagakarsa,
2023-01-06 16:00:00,Jatinegara,
2023-01-06 16:00:00,Kelapa Gading Indah,
2023-01-07 07:00:00,Slipi,
2023-01-07 07:00:00,Menteng,
2023-01-07 07:00:00,Jagakarsa,
2023-01-07 07:00:00,Jatinegara,
2023-01-07 07:00:00,Kelapa Gading Indah,
2023-01-07 08:00:00,Slipi,0.2437999993562698
2023-01-07 08:00:00,Menteng,0.1387999951839447
2023-01-07 08:00:00,Jagakarsa,
2023-01-07 08:00:00,Jatinegara,0.0015999999595806
2023-01-07 08:00:00,Kelapa Gading Indah,0.0657999962568283
2023-01-07 09:00:00,Slipi,0.0905999988317489
2023-01-07 09:00:00,Menteng,0.0593999996781349
2023-01-07 09:00:00,Jagakarsa,0.2606000006198883
2023-01-07 09:00:00,Jatinegara,
2023-01-07 09:00:00,Kelapa Gading Indah,0.0046000001020729
2023-01-07 10:00:00,Slipi,0.00179999996908
2023-01-07 10:00:00,Menteng,0.1441999971866607
2023-01-07 10:00:00,Jagakarsa,0.0533999986946582
2023-01-07 10:00:00,Jatinegara,0.1109999939799308
2023-01-07 10:00:00,Kelapa Gading Indah,0.006000000052154
2023-01-07 11:00:00,Slipi,
2023-01-07 11:00:00,Menteng,
2023-01-07 11:00:00,Jagakarsa,
2023-01-07 11:00:00,Jatinegara,
2023-01-07 11:00:00,Kelapa Gading Indah,
2023-01-07 12:00:00,Slipi,
2023-01-07 12:00:00,Menteng,
2023-01-07 12:00:00,Jagakarsa,
2023-01-07 12:00:00,Jatinegara,
2023-01-07 12:00:00,Kelapa Gading Indah,
2023-01-07 13:00:00,Slipi,
2023-01-07 13:00:00,Menteng,
2023-01-07 13:00:00,Jagakarsa,
2023-01-07 13:00:00,Jatinegara,
2023-01-07 13:00:00,Kelapa Gading Indah,
2023-01-07 14:00:00,Slipi,
2023-01-07 14:00:00,Menteng,
2023-01-07 14:00:00,Jagakarsa,
2023-01-07 14:00:00,Jatinegara,
2023-01-07 14:00:00,Kelapa Gading Indah,
2023-01-07 15:00:00,Slipi,
2023-01-07 15:00:00,Menteng,
2023-01-07 15:00:00,Jagakarsa,
2023-01-07 15:00:00,Jatinegara,
2023-01-07 15:00:00,Kelapa Gading Indah,
2023-01-07 16:00:00,Slipi,
2023-01-07 16:00:00,Menteng,
2023-01-07 16:00:00,Jagakarsa,
2023-01-07 16:00:00,Jatinegara,
2023-01-07 16:00:00,Kelapa Gading Indah,
2023-01-08 07:00:00,Slipi,
2023-01-08 07:00:00,Menteng,
2023-01-08 07:00:00,Jagakarsa,
2023-01-08 07:00:00,Jatinegara,
2023-01-08 07:00:00,Kelapa Gading Indah,
2023-01-08 08:00:00,Slipi,
2023-01-08 08:00:00,Menteng,
2023-01-08 08:00:00,Jagakarsa,
2023-01-08 08:00:00,Jatinegara,
2023-01-08 08:00:00,Kelapa Gading Indah,1.4965999126434326
2023-01-08 09:00:00,Slipi,0.8757999539375305
2023-01-08 09:00:00,Menteng,
2023-01-08 09:00:00,Jagakarsa,
2023-01-08 09:00:00,Jatinegara,0.3027999997138977
2023-01-08 09:00:00,Kelapa Gading Indah,0.9321999549865724
2023-01-08 10:00:00,Slipi,
2023-01-08 10:00:00,Menteng,
2023-01-08 10:00:00,Jagakarsa,
2023-01-08 10:00:00,Jatinegara,
2023-01-08 10:00:00,Kelapa Gading Indah,
2023-01-08 11:00:00,Slipi,
2023-01-08 11:00:00,Menteng,
